Metric,Value
Total Requests Generated,99768.0
Total Requests Completed,70667.0
Total Requests Timed Out,28942.0
Remaining in Queue,159.0
LOW - Avg Response Time,1.7898989938951775
LOW - Max Response Time,5.111343629464955
HIGH - Avg Response Time,0.21224625236053604
HIGH - Max Response Time,10.30247793578883
MEDIUM - Avg Response Time,0.4232939933572866
MEDIUM - Max Response Time,3.140330729881498
LOW - Avg Wait Time,1.7695973433125651
HIGH - Avg Wait Time,0.0691152948327741
MEDIUM - Avg Wait Time,0.3573878215443584
ANALYTICS - Avg Response Time (type),1.7898989938951775
NAVIGATION - Avg Response Time (type),0.16386863515014222
LOGIN - Avg Response Time (type),0.24937010797908848
ADD_TO_CART - Avg Response Time (type),0.5776979383717313
CHECKOUT - Avg Response Time (type),0.6220294524676904
ANALYTICS - Avg Wait Time (type),1.7695973433125651
NAVIGATION - Avg Wait Time (type),0.06292515421834127
LOGIN - Avg Wait Time (type),0.19911434264178982
ADD_TO_CART - Avg Wait Time (type),0.4978978468383336
CHECKOUT - Avg Wait Time (type),0.12154895685179892
HIGH - P_loss,0.03149484989875869
LOW - P_loss,0.690650023551578
MEDIUM - P_loss,0.3436373717771001
LOGIN - P_loss (type),0.4169729587818325
NAVIGATION - P_loss (type),0.034328761072804456
ADD_TO_CART - P_loss (type),0.2625838307907731
ANALYTICS - P_loss (type),0.6934536712253182
CHECKOUT - P_loss (type),0.006840530141085934
