Metric,Value
Total Requests Generated,84837.0
Total Requests Completed,77261.0
Total Requests Timed Out,7513.0
Remaining in Queue,63.0
LOW - Avg Response Time,0.9360783697506266
LOW - Max Response Time,5.0233611269397045
HIGH - Avg Response Time,0.1810224891880449
HIGH - Max Response Time,10.241938065843023
MEDIUM - Avg Response Time,0.25628879153589645
MEDIUM - Max Response Time,3.120883823058989
LOW - Avg Wait Time,0.9157714708491556
HIGH - Avg Wait Time,0.04034741819215398
MEDIUM - Avg Wait Time,0.19085453183484716
ANALYTICS - Avg Response Time (type),0.9360783697506266
NAVIGATION - Avg Response Time (type),0.13771916870351014
CHECKOUT - Avg Response Time (type),0.5609173064318496
ADD_TO_CART - Avg Response Time (type),0.3388008212525767
LOGIN - Avg Response Time (type),0.1700816103274542
ANALYTICS - Avg Wait Time (type),0.9157714708491556
NAVIGATION - Avg Wait Time (type),0.0379016777043473
CHECKOUT - Avg Wait Time (type),0.06180360504445135
ADD_TO_CART - Avg Wait Time (type),0.25845851641665774
LOGIN - Avg Wait Time (type),0.1202230255045802
HIGH - P_loss,0.015372231310534652
LOW - P_loss,0.17109735090087994
MEDIUM - P_loss,0.1306395138246066
LOGIN - P_loss (type),0.17773452705332815
NAVIGATION - P_loss (type),0.016758162380814793
ADD_TO_CART - P_loss (type),0.08026337722953826
ANALYTICS - P_loss (type),0.17148856742883808
CHECKOUT - P_loss (type),0.0030840400925212026
