Metric,Value
Total Requests Generated,8387.0
Total Requests Served,6632.0
Total Requests Timed Out,1660.0
ANALYTICS - Avg Response Time,0.953542531766731
ANALYTICS - Max Response Time,2.4808203488365312
NAVIGATION - Avg Response Time,0.93209997634772
NAVIGATION - Max Response Time,1.6925344103876583
CHECKOUT - Avg Response Time,1.3779259676100926
CHECKOUT - Max Response Time,4.121759912336628
ADD_TO_CART - Avg Response Time,1.0197155616468947
ADD_TO_CART - Max Response Time,2.507066294671321
LOGIN - Avg Response Time,0.8916572151572003
LOGIN - Max Response Time,1.1105319196244103
ANALYTICS - Avg Wait Time,0.9338878423203605
NAVIGATION - Avg Wait Time,0.8331545022487756
CHECKOUT - Avg Wait Time,0.8987344441081063
ADD_TO_CART - Avg Wait Time,0.9395762027224307
LOGIN - Avg Wait Time,0.8423716112696145
NAVIGATION - P_loss,0.32670299727520435
ANALYTICS - P_loss,0.0
CHECKOUT - P_loss,0.0
ADD_TO_CART - P_loss,0.0
LOGIN - P_loss,0.3285816108339273
