Metric,Value
Total Requests Generated,70182.0
Total Requests Completed,67817.0
Total Requests Timed Out,2346.0
Remaining in Queue,19.0
HIGH - Avg Response Time,0.16591103778636354
HIGH - Max Response Time,10.173488044647975
MEDIUM - Avg Response Time,0.1383644177327889
MEDIUM - Max Response Time,2.938808234924352
LOW - Avg Response Time,0.26373124953948673
LOW - Max Response Time,5.083265828487654
HIGH - Avg Wait Time,0.023328610456678958
MEDIUM - Avg Wait Time,0.07344790961144573
LOW - Avg Wait Time,0.24382845902660694
NAVIGATION - Avg Response Time (type),0.1203271736669547
CHECKOUT - Avg Response Time (type),0.547732045931379
LOGIN - Avg Response Time (type),0.10413424479152379
ADD_TO_CART - Avg Response Time (type),0.17286684044354708
ANALYTICS - Avg Response Time (type),0.26373124953948673
NAVIGATION - Avg Wait Time (type),0.02064297816425866
CHECKOUT - Avg Wait Time (type),0.04582408882842398
LOGIN - Avg Wait Time (type),0.054113293392210354
ADD_TO_CART - Avg Wait Time (type),0.09293630375105436
ANALYTICS - Avg Wait Time (type),0.24382845902660694
HIGH - P_loss,0.010427167338709678
LOW - P_loss,0.056204503131877435
MEDIUM - P_loss,0.0491866582999469
NAVIGATION - P_loss (type),0.011487772217915287
LOGIN - P_loss (type),0.06445201590005678
ADD_TO_CART - P_loss (type),0.03331690487925086
ANALYTICS - P_loss (type),0.05620767494356659
CHECKOUT - P_loss (type),0.0014907573047107932
