Metric,Value
Total Requests Generated,7002.0
Total Requests Served,6115.0
Total Requests Timed Out,831.0
NAVIGATION - Avg Response Time,0.6375847557465472
NAVIGATION - Max Response Time,1.8140444465381007
CHECKOUT - Avg Response Time,1.109104835383559
CHECKOUT - Max Response Time,2.835913969877822
ANALYTICS - Avg Response Time,0.712584466731152
ANALYTICS - Max Response Time,2.0420990177071072
ADD_TO_CART - Avg Response Time,0.6810736623163308
ADD_TO_CART - Max Response Time,2.029537934919558
LOGIN - Avg Response Time,0.5823356415557527
LOGIN - Max Response Time,1.1425100143893125
NAVIGATION - Avg Wait Time,0.5364690552022047
CHECKOUT - Avg Wait Time,0.6104249986967105
ANALYTICS - Avg Wait Time,0.6923649705962521
ADD_TO_CART - Avg Wait Time,0.5990450141469587
LOGIN - Avg Wait Time,0.5327126255238267
NAVIGATION - P_loss,0.2078444518940664
CHECKOUT - P_loss,0.0
ANALYTICS - P_loss,0.0
ADD_TO_CART - P_loss,0.0
LOGIN - P_loss,0.1900900900900901
