Metric,Value
Total Requests Generated,10130.0
Total Requests Served,7382.0
Total Requests Timed Out,2716.0
ANALYTICS - Avg Response Time,1.0602297908310738
ANALYTICS - Max Response Time,3.304700905770466
NAVIGATION - Avg Response Time,1.0050180345261517
NAVIGATION - Max Response Time,1.6471811018601983
LOGIN - Avg Response Time,0.9498696757844944
LOGIN - Max Response Time,1.139332572888037
ADD_TO_CART - Avg Response Time,1.1029990704974793
ADD_TO_CART - Max Response Time,3.074670065534883
CHECKOUT - Avg Response Time,1.5062014120402563
CHECKOUT - Max Response Time,3.9239305053959783
ANALYTICS - Avg Wait Time,1.0406602344277847
NAVIGATION - Avg Wait Time,0.90422516593341
LOGIN - Avg Wait Time,0.8996928221547235
ADD_TO_CART - Avg Wait Time,1.0214347622515243
CHECKOUT - Avg Wait Time,1.0070741678779165
NAVIGATION - P_loss,0.4281967213114754
ANALYTICS - P_loss,0.0
LOGIN - P_loss,0.44148936170212766
ADD_TO_CART - P_loss,0.014684287812041116
CHECKOUT - P_loss,0.0
