Tipo Richiesta,Tempo Medio di Risposta (s),Tempo Medio di Attesa (s)
ADD_TO_CART,0.10526273135260898,0.02496336730665928
ANALYTICS,0.043415153096702595,0.02283596519184409
CHECKOUT,0.5197227156621331,0.030776996739869923
LOGIN,0.07771831003923486,0.026867604382023572
NAVIGATION,0.12357432790667218,0.02268178282977976
TOTALE,15062.0,15042.0
